country_name,league_name,season,stage,date,home_team_long_name,home_short_long_name,away_team_long_name,away_short_long_name,home_team_goal,away_team_goal,total_goal,B365H,B365D,B365A
Belgium,Belgium Jupiler League,2008/2009,1,2008-08-17,KRC Genk,GEN,Beerschot AC,BAC,1,1,2,1.73,3.4,5.0
Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16,SV Zulte-Waregem,ZUL,Sporting Lokeren,LOK,0,0,0,1.95,3.2,3.6
Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16,KSV Cercle Brugge,CEB,RSC Anderlecht,AND,0,3,3,2.38,3.3,2.75
Belgium,Belgium Jupiler League,2008/2009,1,2008-08-17,KAA Gent,GEN,RAEC Mons,MON,5,0,5,1.44,3.75,7.5
Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16,FCV Dender EH,DEN,Standard de Liège,STL,1,3,4,5.0,3.5,1.65
Belgium,Belgium Jupiler League,2008/2009,1,2008-09-24,KV Mechelen,MEC,Club Brugge KV,CLB,1,1,2,4.75,3.4,1.67
Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16,KSV Roeselare,ROS,KV Kortrijk,KOR,2,2,4,2.1,3.2,3.3
Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16,Tubize,TUB,Royal Excel Mouscron,MOU,1,2,3,3.2,3.4,2.2
Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16,KVC Westerlo,WES,Sporting Charleroi,CHA,1,0,1,2.25,3.25,2.88
Belgium,Belgium Jupiler League,2008/2009,10,2008-11-01,Club Brugge KV,CLB,KV Kortrijk,KOR,4,1,5,1.3,5.25,9.5
Belgium,Belgium Jupiler League,2008/2009,10,2008-10-31,Standard de Liège,STL,Sporting Charleroi,CHA,1,2,3,1.3,5.25,9.5
Belgium,Belgium Jupiler League,2008/2009,10,2008-11-02,SV Zulte-Waregem,ZUL,KAA Gent,GEN,0,2,2,2.6,3.2,2.5
Belgium,Belgium Jupiler League,2008/2009,10,2008-11-01,Sporting Lokeren,LOK,RAEC Mons,MON,0,0,0,1.91,3.4,4.0
Belgium,Belgium Jupiler League,2008/2009,10,2008-11-01,FCV Dender EH,DEN,KVC Westerlo,WES,2,2,4,2.9,3.3,2.38
Belgium,Belgium Jupiler League,2008/2009,10,2008-11-01,KV Mechelen,MEC,KSV Roeselare,ROS,1,2,3,1.7,3.3,4.5
Belgium,Belgium Jupiler League,2008/2009,10,2008-11-01,Royal Excel Mouscron,MOU,KSV Cercle Brugge,CEB,0,1,1,2.35,3.3,3.0
Belgium,Belgium Jupiler League,2008/2009,10,2008-11-01,Tubize,TUB,KRC Genk,GEN,1,3,4,6.0,3.75,1.57
Belgium,Belgium Jupiler League,2008/2009,10,2008-11-02,Beerschot AC,BAC,RSC Anderlecht,AND,1,3,4,4.0,3.25,1.83
Belgium,Belgium Jupiler League,2008/2009,11,2008-11-08,RSC Anderlecht,AND,Sporting Lokeren,LOK,2,3,5,1.36,4.75,8.5
Belgium,Belgium Jupiler League,2008/2009,11,2008-11-08,RAEC Mons,MON,Royal Excel Mouscron,MOU,0,0,0,2.4,3.3,2.9
Belgium,Belgium Jupiler League,2008/2009,11,2008-11-09,Sporting Charleroi,CHA,Club Brugge KV,CLB,2,2,4,3.2,3.3,2.25
Belgium,Belgium Jupiler League,2008/2009,11,2008-11-07,KSV Cercle Brugge,CEB,SV Zulte-Waregem,ZUL,2,0,2,1.75,3.75,4.33
Belgium,Belgium Jupiler League,2008/2009,11,2008-11-08,KAA Gent,GEN,FCV Dender EH,DEN,1,1,2,1.4,4.33,8.0
Belgium,Belgium Jupiler League,2008/2009,11,2008-11-08,KSV Roeselare,ROS,Tubize,TUB,1,2,3,1.83,3.5,4.2
Belgium,Belgium Jupiler League,2008/2009,11,2008-11-08,KV Kortrijk,KOR,KV Mechelen,MEC,0,0,0,2.0,3.5,3.6
Belgium,Belgium Jupiler League,2008/2009,11,2008-11-08,KVC Westerlo,WES,KRC Genk,GEN,1,0,1,2.7,3.25,2.6
Belgium,Belgium Jupiler League,2008/2009,11,2008-11-09,Beerschot AC,BAC,Standard de Liège,STL,1,3,4,3.6,3.3,02.05
