player_name,birthday,age,height_m,weight_kg,imc,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
Aaron Appindangoye,1992-02-29,24,1.83,84.82,25.36,63.6,67.6,right,medium,medium,48.6,43.6,70.6,60.6,43.6,50.6,44.6,38.6,63.6,48.6,60.0,64.0,59.0,46.6,65.0,54.6,58.0,54.0,76.0,34.6,65.8,52.2,44.6,53.6,47.6,63.8,66.0,67.8,5.6,10.6,9.6,7.6,7.6
Aaron Cresswell,1989-12-15,26,1.7,66.22,22.87,66.97,74.48,left,medium,medium,70.79,49.45,52.94,62.27,29.15,61.09,61.88,62.12,63.24,61.79,76.0,74.94,75.24,67.85,84.73,65.91,75.3,72.88,51.76,54.12,65.06,57.88,51.48,57.45,53.12,69.39,68.79,71.52,12.18,8.67,14.24,10.36,12.91
Aaron Doran,1991-05-13,25,1.7,73.94,25.53,67.0,74.19,right,medium,medium,68.12,57.92,58.69,65.12,54.27,69.04,60.19,55.62,60.46,68.62,75.54,77.5,77.62,50.35,80.73,62.81,67.31,70.92,70.08,58.04,59.12,47.27,61.81,69.38,60.54,22.04,21.12,21.35,14.04,11.81,17.73,10.12,13.5
Aaron Galindo,1982-05-08,34,1.83,89.81,26.85,69.09,70.78,right,medium,medium,57.22,26.26,69.26,64.7,47.78,55.57,37.78,40.39,60.83,63.17,50.22,52.83,62.83,58.22,44.09,64.87,70.78,55.43,78.7,31.3,69.3,61.57,35.91,53.78,41.74,70.61,70.65,68.04,14.17,11.17,22.87,11.17,10.17
Aaron Hughes,1979-11-08,36,1.83,69.85,20.89,73.24,74.68,right,medium,medium,45.08,38.84,73.04,64.76,32.08,50.6,45.48,26.36,56.84,60.16,51.12,54.08,50.76,69.4,64.16,47.08,77.84,66.48,73.8,24.28,69.68,76.84,40.08,46.48,52.96,77.6,76.04,74.6,8.28,8.32,24.92,12.84,11.92
Aaron Hunt,1986-09-04,29,1.83,73.03,21.84,77.26,80.15,left,medium,medium,73.89,72.81,65.52,78.26,77.67,78.81,77.85,68.44,65.44,78.04,77.26,75.78,78.41,77.41,71.04,76.44,69.11,74.81,65.81,74.44,54.44,57.89,75.48,79.96,75.59,31.7,31.52,32.33,13.22,12.41,15.07,15.56,14.85
Aaron Kuhl,1996-01-30,20,1.73,66.22,22.2,60.57,76.0,right,medium,high,47.57,31.57,46.57,63.57,33.57,53.57,55.57,39.57,63.57,62.57,70.29,67.0,60.0,60.57,80.0,52.57,71.0,68.0,59.0,37.57,74.57,54.0,43.71,60.0,41.57,51.57,57.14,56.57,7.57,12.57,13.57,13.57,14.57
Aaron Lennon,1987-04-16,29,1.65,63.05,23.13,79.77,82.0,right,high,medium,78.04,65.96,30.46,76.27,68.38,85.19,62.08,54.35,54.04,82.85,93.42,91.54,91.92,77.65,87.23,62.96,63.54,80.42,50.46,56.5,52.46,43.42,75.31,78.46,63.46,23.23,26.15,20.88,12.85,9.81,17.88,16.92,13.12
Aaron Lennox,1993-02-19,23,1.9,82.1,22.62,48.0,56.86,right,medium,medium,12.0,15.0,16.0,23.0,14.0,15.0,14.0,18.0,18.0,22.0,15.0,26.0,31.0,45.0,24.0,26.0,38.0,18.0,44.0,12.0,21.0,19.0,14.0,15.0,41.0,15.0,15.0,12.0,53.0,41.0,39.0,51.0,53.0
Aaron Meijers,1987-10-28,28,1.75,77.11,25.1,67.05,69.42,left,medium,medium,63.89,46.05,56.84,68.95,59.21,69.74,70.89,64.37,58.0,71.58,74.16,74.95,68.84,68.26,74.11,65.74,65.53,76.58,65.79,60.89,72.58,63.11,62.74,64.79,54.42,62.58,64.58,61.74,6.21,14.21,6.21,9.21,14.21
