team_long_name,team_short_name,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
KRC Genk,GEN,56.33,Balanced,Little,44.33,Mixed,Organised,55.67,Normal,52.33,Normal,55.83,Normal,Organised,49.17,Medium,50.67,Press,59.83,Normal,Cover
Beerschot AC,BAC,46.0,Balanced,Little,41.5,Mixed,Organised,46.0,Normal,53.5,Normal,53.75,Normal,Organised,48.25,Medium,49.0,Press,58.75,Normal,Cover
SV Zulte-Waregem,ZUL,55.5,Balanced,Little,52.67,Mixed,Organised,50.0,Normal,49.33,Normal,41.5,Little,Organised,48.67,Medium,56.17,Press,47.83,Normal,Cover
Sporting Lokeren,LOK,64.0,Balanced,Little,53.5,Mixed,Organised,44.0,Normal,47.67,Normal,54.33,Normal,Organised,48.83,Medium,55.17,Press,55.5,Normal,Cover
KSV Cercle Brugge,CEB,53.67,Balanced,Little,44.17,Mixed,Organised,59.0,Normal,60.33,Normal,48.0,Normal,Organised,60.17,Medium,49.67,Press,64.67,Normal,Cover
RSC Anderlecht,AND,51.33,Balanced,Little,45.17,Mixed,Organised,63.5,Normal,55.0,Normal,51.33,Normal,Organised,59.67,Medium,47.67,Press,63.83,Normal,Cover
KAA Gent,GEN,54.17,Balanced,Little,46.33,Mixed,Organised,44.5,Normal,64.67,Normal,44.17,Normal,Organised,51.33,Medium,50.0,Press,45.67,Normal,Cover
RAEC Mons,MON,51.67,Balanced,Little,51.67,Mixed,Organised,55.0,Normal,60.67,Lots,46.0,Normal,Organised,46.0,Medium,45.0,Press,47.0,Normal,Cover
Standard de Liège,STL,59.67,Balanced,Little,60.33,Mixed,Organised,54.67,Normal,58.83,Normal,61.33,Normal,Organised,51.5,Medium,57.5,Press,56.5,Normal,Cover
KV Mechelen,MEC,56.67,Balanced,Little,47.33,Mixed,Organised,47.5,Normal,49.83,Normal,50.33,Normal,Organised,47.67,Medium,58.83,Press,52.0,Normal,Cover
Club Brugge KV,CLB,49.17,Balanced,Little,46.5,Mixed,Organised,48.83,Normal,55.83,Normal,47.67,Normal,Organised,53.67,Medium,53.83,Press,54.67,Normal,Cover
KSV Roeselare,ROS,65.0,Balanced,Little,60.0,Mixed,Organised,50.0,Normal,35.0,Normal,40.0,Normal,Organised,65.0,Medium,70.0,Double,70.0,Wide,Cover
KV Kortrijk,KOR,40.83,Balanced,Little,51.0,Mixed,Organised,39.33,Normal,64.5,Lots,40.33,Little,Organised,46.33,Medium,49.5,Press,53.33,Normal,Cover
